cod_mun	dpto	peso
25288	25	3143.404255
25290	25	3138.650755
25293	25	3035.627451
25295	25	2997.541872
25297	25	3042.664671
25299	25	2996.2
25307	25	3235.06375
25312	25	3076.919192
25317	25	3121.923729
25320	25	3216.318182
25322	25	3004.3125
25324	25	3178.888889
25326	25	2922.741573
25328	25	3000.566038
25335	25	3065.548387
25339	25	3097.861538
25368	25	3330.4
25372	25	2940.012658
25377	25	2917.590296
25386	25	3192.420398
25394	25	3208.409091
25398	25	3174
25402	25	3095.965347
25407	25	3090.57513
25426	25	2954.758065
25430	25	2990.45689
25436	25	2819.558824
25438	25	3385.625
25473	25	2976.144346
25483	25	3200.25641
25486	25	2975.246377
25488	25	3266.039216
25489	25	3227.692308
25491	25	3186.727273
25506	25	3163.089552
25513	25	3105.229651
25518	25	3250.555556
25524	25	3062.765957
25530	25	3284.678571
25535	25	3057.877419
25572	25	3202.216216
25580	25	3180.892857
25592	25	3213.586207
25594	25	3152.43038
25596	25	3161
25599	25	3243.051546
25612	25	3349.242424
25645	25	3164.567308
25649	25	3121.730769
25653	25	3083.512821
25658	25	3166.75
25662	25	3157.49505
25718	25	3130.878049
25736	25	3016.296296
25740	25	2992.316195
25743	25	3167.094225
25745	25	3024.786585
25754	25	3000.894356
25758	25	3008.985915
25769	25	2987.34632
25772	25	2904.632035
25777	25	3081.137255
25779	25	3025.054348
25781	25	3129.583333
25785	25	3015.003378
25793	25	2958.305556
25797	25	3168.540541
25799	25	2982.882006
25805	25	3218.6
25807	25	3099.689655
25815	25	3213.944134
25817	25	3001.405959
25823	25	3040.916667
25839	25	3245.150538
25841	25	3025.098765
25843	25	3080.434928
25845	25	3081.643678
25851	25	3330
25862	25	3152.592593
25867	25	3347.208333
25871	25	3295.555556
25873	25	2928.485944
25875	25	3189.916449
25878	25	3248.532934
25885	25	3171.629834
25898	25	3022.075472
25899	25	3018.566845
27001	27	3120.877766
27006	27	3387.526946
27025	27	3062.895833
27050	27	3224.805556
27073	27	2990.294118
27075	27	3270.848739
27077	27	3107.45614
27099	27	3122.35
27135	27	3066.666667
27150	27	3017.512195
27160	27	3129.423729
27205	27	3087.616216
27245	27	2989.594595
27250	27	3209.615385
27361	27	3072.893035
27372	27	3500.34375
27413	27	3131.988636
27425	27	3124.961538
27430	27	3225.173913
27450	27	3292.182432
27491	27	2947.541667
27495	27	3521.827586
27580	27	3091
27600	27	2836.935484
27615	27	3305.004149
27660	27	3509.962963
27745	27	3257.666667
27787	27	3289.709957
27800	27	3234.455285
27810	27	3436.348837
41001	41	3244.20803
41006	41	3454.759513
41013	41	3533.419753
41016	41	3970.157377
41020	41	3697.090293
41026	41	3364.982143
41078	41	3375.23913
41132	41	3999.326679
41206	41	3953.507246
41244	41	3179.038462
41298	41	3215.573906
41306	41	3402.808933
41319	41	3510.857576
41349	41	3263.817391
41357	41	4547.43128
41359	41	3188.71608
41378	41	3442.46332
41396	41	3589.967294
41483	41	3936.895238
41503	41	3380.172549
41518	41	3311.708861
41524	41	3226.226776
