"r" "obs" "theo" "lo" "hi"
"74" 18168.0882148932 27904772785.7223 1036975110.45433 960559200.119507 1106905349.41405
"75" 18416.9661356452 28386826765.5102 1065579978.39143 989521253.039915 1129070956.34182
"76" 18665.8440563971 28835844607.3603 1094574028.20522 1012569442.94796 1165920731.21437
"77" 18914.7219771491 29292082688.2985 1123957259.89571 1030197359.44484 1193607318.3317
"78" 19163.5998979011 29761554143.3493 1153729673.46289 1052454946.26402 1229117503.90058
"79" 19412.477818653 30226574044.2877 1183891268.90677 1072370561.1405 1263701156.49354
"80" 19661.355739405 30686160855.1765 1214442046.22734 1109511911.04991 1291541835.56763
"81" 19910.233660157 31126437247.2232 1245382005.42461 1136751258.28346 1320481556.50927
"82" 20159.1115809089 31592798235.3368 1276711146.49857 1172353206.37187 1357345227.00582
"83" 20407.9895016609 32026783878.4782 1308429469.44923 1202887145.76165 1396603589.05855
"84" 20656.8674224128 32484241934.8559 1340536974.27658 1237603286.10169 1428718696.30541
"85" 20905.7453431648 32917077285.3826 1373033660.98063 1272577099.84039 1470951635.67295
"86" 21154.6232639168 33364276317.8039 1405919529.56137 1302559760.84441 1510843661.85452
"87" 21403.5011846687 33777528951.4476 1439194580.01881 1342264646.34924 1539502689.8802
"88" 21652.3791054207 34197272524.1972 1472858812.35294 1377940777.63889 1585348181.04655
"89" 21901.2570261727 34598514210.0084 1506912226.56377 1414964142.33316 1611405917.3829
"90" 22150.1349469246 35020134521.4733 1541354822.6513 1447228169.31893 1649273874.23246
"91" 22399.0128676766 35404137458.8604 1576186600.61552 1477861449.8375 1684462425.50491
"92" 22647.8907884285 35824222693.3965 1611407560.45643 1509693860.64585 1724136951.20596
"93" 22896.7687091805 36226867048.5796 1647017702.17404 1540831702.29553 1765380914.29119
"94" 23145.6466299325 36630961608.6506 1683017025.76835 1579445200.55729 1810936053.1825
"95" 23394.5245506844 37011720125.7143 1719405531.23935 1617463392.92158 1851044165.75888
"96" 23643.4024714364 37384015753.8797 1756183218.58704 1659189243.7354 1881119164.72743
"97" 23892.2803921883 37800796719.9227 1793350087.81143 1692500228.95114 1917521926.60366
"98" 24141.1583129403 38190451542.6768 1830906138.91252 1734607015.1741 1958378758.86755
"99" 24390.0362336923 38574259445.3207 1868851371.8903 1772340325.49322 1998132254.23583
"100" 24638.9141544442 38941403811.0416 1907185786.74477 1807557965.37776 2040536411.044
"101" 24887.7920751962 39343535572.4157 1945909383.47595 1844782507.14458 2087461344.1792
"102" 25136.6699959482 39697038132.6791 1985022162.08381 1883434379.58919 2126205550.55318
"103" 25385.5479167001 40070796457.5009 2024524122.56837 1913700165.11915 2173384318.48377
"104" 25634.4258374521 40419933842.5597 2064415264.92963 1957336014.6842 2218034106.95471
"105" 25883.303758204 40783051733.087 2104695589.16758 1988565427.7641 2253625613.40673
"106" 26132.181678956 41172795121.2526 2145365095.28223 2036480694.7528 2301978769.44593
"107" 26381.059599708 41538345282.9827 2186423783.27357 2074979940.51224 2349012435.14712
"108" 26629.9375204599 41883235374.2415 2227871653.14161 2113795430.38181 2378327493.31623
"109" 26878.8154412119 42217284869.2805 2269708704.88634 2160746683.77302 2413990948.15495
"110" 27127.6933619639 42533086456.0875 2311934938.50777 2202314144.06432 2464343206.90529
"111" 27376.5712827158 42888581695.0031 2354550354.00589 2235546771.62299 2513694536.64213
"112" 27625.4492034678 43209634947.0844 2397554951.38071 2282991784.65134 2557393323.80399
"113" 27874.3271242197 43540470065.7576 2440948730.63223 2320262984.58193 2594016295.72613
"114" 28123.2050449717 43891277190.6914 2484731691.76043 2369885534.31025 2644767902.00893
"115" 28372.0829657237 44209922555.694 2528903834.76534 2411114448.46465 2679496106.11853
"116" 28620.9608864756 44535813901.8756 2573465159.64694 2465036902.93955 2729154548.89323
"117" 28869.8388072276 44825540040.4288 2618415666.40523 2514709628.76041 2779668587.88727
"118" 29118.7167279795 45091264647.3472 2663755355.04022 2550193685.89227 2828031068.66119
"119" 29367.5946487315 45403520030.9809 2709484225.55191 2585774016.28402 2879078919.94377
"120" 29616.4725694835 45702834707.1445 2755602277.94029 2630514767.31464 2927033456.35615
"121" 29865.3504902354 45967387917.0275 2802109512.20536 2677378243.25331 2984992519.30772
"122" 30114.2284109874 46244029135.5552 2849005928.34713 2732887488.6719 3036996909.62929
"123" 30363.1063317394 46520539172.3767 2896291526.3656 2783642195.013 3082557355.36093
"124" 30611.9842524913 46778312094.811 2943966306.26076 2836325589.05453 3135604994.08067
"125" 30860.8621732433 47037627817.0442 2992030268.03261 2897247505.4724 3183661358.92188
"126" 31109.7400939952 47326383005.8123 3040483411.68116 2939151251.00389 3237252275.2304
"127" 31358.6180147472 47598158438.8288 3089325737.20641 2986862771.9099 3283624355.75854
"128" 31607.4959354992 47868540739.4038 3138557244.60835 3035081768.85494 3341397700.26846
"129" 31856.3738562511 48116849810.6847 3188177933.88699 3086500363.64431 3389840461.10847
"130" 32105.2517770031 48408509816.3895 3238187805.04232 3141032619.24525 3436908862.27739
"131" 32354.1296977551 48630024842.767 3288586858.07435 3186004290.21029 3491138105.13601
"132" 32603.007618507 48863489770.5443 3339375092.98307 3235485728.22216 3557142573.11808
"133" 32851.885539259 49116675543.1402 3390552509.76849 3276990532.42612 3609379891.7217
"134" 33100.7634600109 49371541214.3076 3442119108.4306 3330093420.22455 3668373890.63167
"135" 33349.6413807629 49595198603.2532 3494074888.96941 3375046471.4571 3728294568.34761
"136" 33598.5193015149 49823418616.9438 3546419851.38491 3420810865.48471 3787202587.01981
"137" 33847.3972222668 50060236136.1921 3599153995.67711 3472496717.11868 3845871661.45869
"138" 34096.2751430188 50276689214.603 3652277321.846 3517868246.41165 3898008956.11038
"139" 34345.1530637707 50468658325.7625 3705789829.89159 3566508216.23477 3961452589.39578
"140" 34594.0309845227 50680966680.551 3759691519.81387 3618916035.67436 3997944231.46903
"141" 34842.9089052747 50892356721.379 3813982391.61285 3670981537.64192 4050959905.52582
"142" 35091.7868260266 51115017725.0836 3868662445.28853 3730774702.59945 4115448104.44517
"143" 35340.6647467786 51325567754.6488 3923731680.8409 3785218702.57632 4178765354.33711
"144" 35589.5426675306 51533719303.0001 3979190098.26996 3839305515.26702 4244547849.73115
"145" 35838.4205882825 51745202117.1996 4035037697.57572 3896721678.23941 4309928155.83215
"146" 36087.2985090345 51925223133.8494 4091274478.75817 3945215550.55024 4367356009.66513
"147" 36336.1764297864 52105401918.2242 4147900441.81733 4004183637.51173 4430875969.9194
"148" 36585.0543505384 52285339265.6616 4204915586.75317 4058120444.88533 4487705779.37198
"149" 36833.9322712904 52503967781.9724 4262319913.56571 4115278267.62561 4527974502.27279
"150" 37082.8101920423 52692263084.3975 4320113422.25495 4167755130.40192 4577969185.55317
"151" 37331.6881127943 52857833046.3706 4378296112.82088 4223578853.15909 4655063572.92065
"152" 37580.5660335463 53031504779.0749 4436867985.2635 4265373459.3673 4731450143.94381
"153" 37829.4439542982 53199079672.192 4495829039.58282 4331562046.64565 4804041774.86027
"154" 38078.3218750502 53388880758.4431 4555179275.77884 4407091918.04591 4869271939.27219
"155" 38327.1997958021 53576042613.0806 4614918693.85155 4467691575.37413 4930905500.95408
"156" 38576.0777165541 53756451827.8642 4675047293.80096 4509870016.62153 4983385673.5022
"157" 38824.9556373061 53940957882.2599 4735565075.62706 4579589790.42656 5049192624.01798
"158" 39073.833558058 54113300774.6892 4796472039.32986 4634190472.70505 5102567104.01634
"159" 39322.71147881 54284057804.2852 4857768184.90935 4689681068.88294 5160962730.16309
"160" 39571.5893995619 54476637494.5318 4919453512.36554 4755493862.21541 5211677715.46266
"161" 39820.4673203139 54640936742.1786 4981528021.69842 4820581373.23441 5281035688.49629
"162" 40069.3452410659 54815305529.6611 5043991712.908 4885378946.12509 5345195566.68795
"163" 40318.2231618178 54965376540.688 5106844585.99427 4935503175.44365 5408841005.08414
"164" 40567.1010825698 55114224597.8584 5170086640.95724 4997648600.31667 5469711152.24041
"165" 40815.9790033218 55246880676.606 5233717877.7969 5061211254.48007 5545591297.39858
"166" 41064.8569240737 55422768029.7804 5297738296.51326 5123810939.10086 5604498390.83652
"167" 41313.7348448257 55570966293.8844 5362147897.10631 5193239234.79341 5660493346.56533
"168" 41562.6127655776 55727924404.0397 5426946679.57606 5250881626.00162 5732053539.33159
"169" 41811.4906863296 55846959694.8001 5492134643.92251 5311885240.49992 5807656352.88513
"170" 42060.3686070816 56010596823.3766 5557711790.14565 5383641094.5573 5880713236.23232
