COD_MUN	COD_DEPTO	nbi	msnm
68377	68	34.01729	2000
73148	73	28.69005	350
85400	85	72.41883	1125
85325	85	53.44911	175
68573	68	50.90586	100
5467	5	33.97427	2200
27810	27	53.39423	94
15332	15	68.53837	2880
15097	15	52.88447	2161
25224	25	40.7276	2590
73226	73	40.53701	460
17495	17	36.66301	727
50150	50	23.4171	400
5792	5	38.94469	1325
15476	15	50.19071	2908
27073	27	84.4874	200
76863	76	18.95318	1900
15223	15	58.45623	357
15681	15	46.71946	678
25099	25	20.783	2600
5264	5	15.26413	2292
73270	73	35.84833	930
73200	73	45.76899	300
20443	20	55.29189	750
15686	15	42.46094	1591
47541	47	68.58233	10
5390	5	37.62761	592
52694	52	57.00442	1750
15232	15	48.99671	2600
17442	17	35.98527	1050
73563	73	40.3269	320
5842	5	63.59377	647
73030	73	34.38724	238
5425	5	35.42169	1100
52506	52	59.18863	2830
13042	13	59.17425	50
63302	63	25.42475	1500
15763	15	37.48409	2650
18460	18	60.76627	207
13760	13	53.22622	5
25178	25	30.33704	2441
41206	41	64.77179	770
13620	13	45.96198	5
5411	5	35.22679	750
85263	85	55.48543	250
13248	13	59.11445	100
27600	27	98.81364	35
27099	27	96.03229	13
54223	54	58.61031	1300
44110	44	56.48777	255
25154	25	39.18836	2950
15804	15	45.89556	2085
13062	13	67.80316	25
25793	25	25.50265	2931
68079	68	30.98996	1284
25394	25	42.75273	1452
25372	25	34.10766	2325
19785	19	80.28422	1125
68051	68	49.19926	1764
25612	25	36.62718	284
8849	8	43.27979	110
25658	25	22.63008	1505
41872	41	39.99726	375
18785	18	52.87419	200
85225	85	64.02021	387
25312	25	18.25101	2250
17867	17	30.66038	675
52051	52	81.83284	2000
52036	52	46.14177	1375
52435	52	46.05804	1809
68745	68	48.17628	1080
73026	73	45.81583	418
5125	5	63.85228	800
5483	5	34.22163	1661
13440	13	76.03297	25
25594	25	39.23341	1400
47605	47	61.70534	5
25662	25	34.14556	1268
50370	50	50.47158	1000
41013	41	44.92048	838
52352	52	60.18566	2950
27075	27	30.18696	34
5107	5	55.03525	1200
15480	15	45.66701	843
19513	19	22.16994	1000
18205	18	44.57526	232
47703	47	73.73414	25
66383	66	24.27137	1500
52573	52	46.14863	2800
68773	68	42.97715	2200
25718	25	24.7695	1191
41801	41	34.44927	853
41885	41	21.84359	681
73347	73	23.42526	2250
15087	15	31.05612	3144
5628	5	60.27853	850
5576	5	30.0221	1800
13268	13	72.86406	25
15814	15	44.45336	2700
15740	15	50.79948	2755
76869	76	21.14542	900
54344	54	79.18434	1000
15507	15	50.66105	1040
41797	41	29.53127	833
13458	13	68.33199	50
25779	25	30.71108	2557
25488	25	24.01077	400
25438	25	42.76059	533
27413	27	71.77899	100
52696	52	100	2
15531	15	61.74033	1121
25645	25	27.60764	1500
76243	76	27.27372	1750
47161	47	63.7289	7
25123	25	21.43153	1650
52207	52	57.64325	1675
27430	27	100	50
73520	73	37.99618	1410
76246	76	29.43593	1800
73043	73	100	1900
15455	15	25.34704	1523
15753	15	40.11125	1960
17616	17	24.6063	1700
52224	52	56.58742	3050
50450	50	100	200
47675	47	53.50899	5
54051	54	52.01029	920
15837	15	32.45895	2600
47205	47	62.60237	25
50400	50	38.39424	700
15542	15	50.118	2600
68895	68	18.10927	1707
25736	25	16.56305	2601
13160	13	61.87564	64
50318	50	19.4239	521
54660	54	43.58724	850
15322	15	25.9552	1810
54174	54	52.58594	2337
70110	70	57.14608	87
68770	68	35.08967	1750
41357	41	44.28919	1122
52390	52	91.45957	5
5091	5	31.245	1500
5313	5	27.25715	2075
76250	76	23.91304	1500
50577	50	59.84275	240
54128	54	49.19867	2020
27425	27	100	25
15183	15	81.21906	2949
15407	15	25.86001	2143
25297	25	38.89329	1750
52885	52	63.39464	2650
27006	27	49.24651	6
73352	73	34.75264	1250
70400	70	61.45164	80
68418	68	40.43591	1295
41503	41	53.29834	1400
20310	20	66.3335	1300
85125	85	57.3092	230
25001	25	20.67224	350
15755	15	72.35216	2400
25035	25	29.98135	689
76377	76	22.68682	1584
19392	19	56.91342	1800
50606	50	17.54228	488
8832	8	35.90261	268
68669	68	35.49724	1607
15693	15	17.13535	2748
15599	15	41.50844	2313
25745	25	22.04943	2543
15842	15	47.35506	2500
85139	85	35.24148	200
50287	50	39.08556	295
54670	54	73.89253	1650
52788	52	54.3787	2403
13894	13	55.92031	21
5190	5	23.75254	1044
19622	19	65.92924	1714
25649	25	27.10235	1750
52203	52	57.41315	1750
25407	25	32.4075	2600
73870	73	28.36069	2000
18756	18	100	200
52520	52	71.3136	1
25053	25	25.2459	1350
25535	25	26.24395	2180
13030	13	68.83263	33
5310	5	39.44886	1750
8770	8	55.39918	7
70124	70	68.05746	20
5690	5	29.07438	1950
25148	25	53.89663	1272
25181	25	24.31446	1920
13188	13	60.8767	20
68500	68	39.60337	1420
68167	68	24.08296	1285
17272	17	26.57228	1575
54385	54	60.73574	174
52411	52	53.9444	1450
