X	Y	Magnitud
847325,690000	749481,370000	2,300000
847326,770000	750587,450000	1,800000
847825,080000	1066934,810000	1,500000
848436,160000	747268,140000	1,100000
849048,560000	1117815,370000	3,600000
849551,950000	750585,290000	2,400000
849823,290000	952999,330000	1,500000
850668,800000	755008,490000	2,300000
851780,280000	753901,350000	1,600000
851782,420000	756113,470000	1,300000
851787,840000	761643,780000	1,400000
852909,170000	770491,160000	1,600000
854006,420000	755005,270000	1,400000
855146,430000	782655,480000	1,900000
856232,520000	756109,220000	2,100000
856238,840000	762745,490000	1,600000
856525,730000	976215,920000	1,300000
857349,200000	760532,340000	2,300000
857353,440000	764956,500000	2,000000
858449,490000	747258,860000	1,400000
858469,080000	768273,540000	1,600000
858472,310000	771591,660000	1,500000
860684,580000	758317,150000	1,700000
860754,070000	1358933,270000	1,800000
861763,270000	1326850,220000	2,000000
862130,860000	1446321,820000	1,800000
862905,570000	753891,050000	1,800000
862922,900000	772693,380000	1,800000
863578,730000	1174194,950000	2,300000
863852,180000	1283703,140000	4,400000
864016,130000	751678,030000	2,400000
864039,480000	777116,400000	2,300000
865213,380000	835734,300000	1,800000
865231,560000	851218,650000	1,900000
865707,230000	1135476,100000	1,600000
866123,980000	1306926,660000	1,300000
866252,880000	764948,180000	2,600000
866501,980000	966244,870000	1,900000
867065,040000	1243873,150000	2,300000
867258,270000	1317985,320000	2,000000
867355,570000	753887,150000	1,700000
867383,800000	784855,270000	1,900000
867462,790000	857852,110000	3,000000
867588,600000	950758,550000	1,500000
868103,790000	1216217,220000	2,000000
868212,040000	1260462,450000	1,900000
868312,000000	1299177,610000	2,700000
868356,330000	1315770,000000	1,900000
868389,410000	1327937,810000	2,500000
868719,250000	964029,330000	1,900000
868734,710000	973983,690000	1,200000
868745,190000	980619,950000	1,300000
869063,230000	1150954,340000	1,300000
869844,120000	1448509,680000	2,100000
870399,510000	1613342,990000	2,700000
870523,800000	1300277,970000	2,600000
870678,890000	1357798,320000	1,800000
870712,360000	776004,150000	1,500000
870946,680000	968450,080000	1,200000
870993,010000	1463993,370000	2,400000
873575,510000	1189658,020000	2,000000
873800,910000	1285889,710000	2,400000
874130,480000	1408673,210000	1,700000
875154,870000	768258,330000	2,200000
876479,000000	955169,660000	1,500000
878459,290000	1379900,480000	3,100000
878702,980000	957378,540000	1,800000
879610,740000	775996,330000	1,500000
881007,710000	1014887,610000	1,500000
881111,940000	1535867,250000	2,400000
881845,630000	788159,990000	2,100000
881870,720000	815808,980000	1,400000
882063,460000	978387,840000	1,100000
882951,240000	780417,350000	2,200000
882967,480000	799218,580000	2,900000
883216,960000	1008248,200000	1,500000
884075,680000	794793,780000	2,500000
884556,750000	1145392,870000	1,100000
885387,730000	973959,220000	1,600000
886297,090000	791474,030000	2,700000
886298,030000	792579,980000	1,900000
886302,750000	798109,700000	1,500000
886345,850000	844559,560000	1,600000
886455,830000	941884,340000	1,300000
886499,410000	975063,690000	1,600000
886779,900000	1149812,900000	1,100000
887405,560000	787049,340000	2,200000
887526,310000	1473900,610000	1,600000
888630,980000	903172,850000	2,000000
889632,580000	790365,330000	1,600000
889636,220000	794789,060000	3,100000
889753,550000	1483850,160000	3,100000
889864,320000	1000496,670000	1,300000
890092,230000	1144276,720000	1,200000
890707,110000	739491,800000	2,300000
892964,630000	784833,030000	1,900000
892969,850000	791468,570000	1,800000
893222,600000	1021505,580000	1,600000
894267,620000	972841,560000	1,400000
895344,270000	945191,370000	1,600000
895346,880000	947403,270000	3,200000
895419,130000	1004913,000000	1,400000
896437,070000	929706,860000	1,700000
