X	Y	Magnitud	Marcas
781956,28	1254111,45	2,4	A
782567,41	1122431,69	3,7	B
783270,46	988545,4	3,7	B
784395,66	994074,66	1,9	A
784761,89	1115785,31	1,3	A
784936,94	687596,68	2,1	A
785022,5	757299,21	2,3	A
785101,3	808193,47	1,7	A
785454,33	1297252,61	2,6	A
785863,04	1113568,69	2,7	A
786060,83	697552,94	1,5	A
786070,68	706403,98	4,2	B
786578,7	979685,14	1,8	A
787146,1	669892,42	2,7	A
787552,72	923255,11	2,1	A
787644,61	961979,57	2,4	A
788289,69	699763,26	3	A
788308,5	716358,78	1,7	A
788958,53	1038319,83	3	A
789412,71	708612,94	2,3	A
789860,73	959761,29	2,9	A
790514,92	698654,49	1,3	A
791628,13	698653,3	2	A
791642,75	711929,49	2,7	A
791644,01	713035,84	2,5	A
792074,41	1295011,55	1,9	A
792747,28	704183,83	2,6	A
792755,87	711928,23	1,1	A
793457,25	1059329,01	2,7	A
793872,74	715245,98	2,5	A
794974,79	705287,74	2,2	A
795335,29	1281720,12	2	A
795344,19	1283933,08	2,8	A
795635,08	1044939,44	2,3	A
796757,03	1049361,9	3	A
797683,81	979657,23	1,8	A
798772,95	970803,65	1,6	A
799432,06	709708,19	2	A
800116,33	1060416,34	1,8	A
802040,31	1300503,48	2,5	A
802864,89	1226368,3	1,7	A
803848,04	672089,92	2	A
803943,62	1218619,48	1,8	A
804989,46	701958,33	2,3	A
805003,35	715233,64	1,8	A
805084,02	780504,17	2,7	A
805208,33	859050,81	2,8	A
806112,85	711913,63	1,4	A
806195,06	779396,34	2,4	A
806601,6	994018,12	1,2	A
807438,05	1267289,36	4,1	B
807475,25	1277247,05	1,5	A
808617,93	1287200,58	1,7	A
809456,6	716335,14	2,9	A
809628,66	1261749,23	1,7	A
810815,5	1283873,07	2,1	A
812893,13	795980,97	1,8	A
813096,71	916562,95	1,2	A
813928,81	735136,41	2,3	A
813945,41	749517,44	1,8	A
814149,53	885585,5	1,7	A
814385,96	999531,19	1,7	A
815288,49	1298239,7	1,5	A
816409,54	1302661,13	2	A
817255,46	724070,56	2,2	A
817537,19	914341,82	2,8	A
817545,69	918766,8	1,4	A
817961,04	1096876,01	1,5	A
817994,64	1109045,26	2,1	A
818368,37	724069,39	1,4	A
818420,35	769424,05	2	A
819510,4	750617,14	1,9	A
819761,65	915443,83	2,8	A
820642,8	767208,89	1,1	A
822842,32	745082,37	2	A
824208,33	916541,74	3,7	B
824684,05	1123408,52	1,3	A
825103,85	776052,97	1,8	A
826169,89	735123,14	1,8	A
826370,26	1308156,96	2,1	A
826451,07	927599,7	2,2	A
826568,33	986228,94	1,3	A
827299,31	750608,33	1,7	A
827510,26	898836,5	5	B
827678,57	986226,59	1	A
827801,52	1396660,71	2,8	A
828826,61	1003923,63	3,7	B
829545,95	769410,59	1,9	A
830600,51	714101,69	2,7	A
830608,93	722950,89	1,7	A
830611,08	725163,19	2,1	A
830618,78	732906,24	1,7	A
830659,77	770515,45	2,3	A
831729,36	730692,83	2,9	A
831760,94	760558,8	1,7	A
831762,18	761664,95	2,6	A
832369,74	1095731,96	1,8	A
833957,13	732902,9	1,5	A
833959,33	735115,17	1,3	A
835089,13	751706,04	1,9	A
835097,47	759448,97	2,1	A
835102,35	763873,51	2,4	A
835521,66	1020502,21	1,5	A
836187,03	737325,21	2,4	A
836288,03	1301485,21	1,7	A
836821,32	1449731,57	2,3	A
837322,62	759446,55	1,3	A
838446,05	769400,44	1,9	A
839720,35	889966,89	1,5	A
840032,31	1053677,94	1,5	A
840226,89	1476271,06	3,5	B
840654,54	753912,45	1,5	A
840666,22	764973,54	2,2	A
840814,82	1334658,98	1,7	A
842897,18	770501,67	2,4	A
844004,92	766076,08	2	A
844133,35	1336860,57	2,4	A
844473,87	1055880,5	2,9	A
845111,65	760544,45	1,4	A
847325,69	749481,37	2,3	A
847326,77	750587,45	1,8	A
847825,08	1066934,81	1,5	A
848436,16	747268,14	1,1	A
849048,56	1117815,37	3,6	B
849551,95	750585,29	2,4	A
849823,29	952999,33	1,5	A
850668,8	755008,49	2,3	A
851780,28	753901,35	1,6	A
851782,42	756113,47	1,3	A
851787,84	761643,78	1,4	A
852909,17	770491,16	1,6	A
854006,42	755005,27	1,4	A
855146,43	782655,48	1,9	A
856232,52	756109,22	2,1	A
856238,84	762745,49	1,6	A
856525,73	976215,92	1,3	A
857349,2	760532,34	2,3	A
857353,44	764956,5	2	A
858449,49	747258,86	1,4	A
858469,08	768273,54	1,6	A
858472,31	771591,66	1,5	A
860684,58	758317,15	1,7	A
860754,07	1358933,27	1,8	A
861763,27	1326850,22	2	A
862130,86	1446321,82	1,8	A
862905,57	753891,05	1,8	A
862922,9	772693,38	1,8	A
863578,73	1174194,95	2,3	A
863852,18	1283703,14	4,4	B
864016,13	751678,03	2,4	A
864039,48	777116,4	2,3	A
865213,38	835734,3	1,8	A
865231,56	851218,65	1,9	A
865707,23	1135476,1	1,6	A
866123,98	1306926,66	1,3	A
866252,88	764948,18	2,6	A
866501,98	966244,87	1,9	A
867065,04	1243873,15	2,3	A
867258,27	1317985,32	2	A
867355,57	753887,15	1,7	A
867383,8	784855,27	1,9	A
867462,79	857852,11	3	A
867588,6	950758,55	1,5	A
868103,79	1216217,22	2	A
868212,04	1260462,45	1,9	A
868312	1299177,61	2,7	A
868356,33	1315770	1,9	A
868389,41	1327937,81	2,5	A
868719,25	964029,33	1,9	A
868734,71	973983,69	1,2	A
868745,19	980619,95	1,3	A
869063,23	1150954,34	1,3	A
869844,12	1448509,68	2,1	A
870399,51	1613342,99	2,7	A
870523,8	1300277,97	2,6	A
870678,89	1357798,32	1,8	A
870712,36	776004,15	1,5	A
870946,68	968450,08	1,2	A
870993,01	1463993,37	2,4	A
873575,51	1189658,02	2	A
873800,91	1285889,71	2,4	A
874130,48	1408673,21	1,7	A
875154,87	768258,33	2,2	A
876479	955169,66	1,5	A
878459,29	1379900,48	3,1	A
878702,98	957378,54	1,8	A
879610,74	775996,33	1,5	A
881007,71	1014887,61	1,5	A
881111,94	1535867,25	2,4	A
881845,63	788159,99	2,1	A
881870,72	815808,98	1,4	A
882063,46	978387,84	1,1	A
882951,24	780417,35	2,2	A
882967,48	799218,58	2,9	A
883216,96	1008248,2	1,5	A
884075,68	794793,78	2,5	A
884556,75	1145392,87	1,1	A
885387,73	973959,22	1,6	A
886297,09	791474,03	2,7	A
886298,03	792579,98	1,9	A
886302,75	798109,7	1,5	A
886345,85	844559,56	1,6	A
886455,83	941884,34	1,3	A
886499,41	975063,69	1,6	A
886779,9	1149812,9	1,1	A
887405,56	787049,34	2,2	A
887526,31	1473900,61	1,6	A
888630,98	903172,85	2	A
889632,58	790365,33	1,6	A
